work_location,position_type,people_number,position_link,publish_times,position_name
深圳,产品/项目类,1,https://hr.tencent.com/position_detail.php?id=39353&keywords=&tid=0&lid=0,2018-04-18,SA-腾讯社交广告SMB行业运营经理（电商运营方向）（深圳）
上海,市场类,1,https://hr.tencent.com/position_detail.php?id=39354&keywords=&tid=0&lid=0,2018-04-18,SA-腾讯社交广告商业运营分析经理（上海）
深圳,产品/项目类,1,https://hr.tencent.com/position_detail.php?id=39356&keywords=&tid=0&lid=0,2018-04-18,SA-腾讯社交广告商业运营经理（深圳）
深圳,市场类,1,https://hr.tencent.com/position_detail.php?id=39359&keywords=&tid=0&lid=0,2018-04-18,SA-腾讯社交广告SMB汽车行业经理（深圳）
深圳,产品/项目类,1,https://hr.tencent.com/position_detail.php?id=39346&keywords=&tid=0&lid=0,2018-04-18,SNG16-全民K歌TV和硬件活动策划（深圳）
深圳,技术类,2,https://hr.tencent.com/position_detail.php?id=39348&keywords=&tid=0&lid=0,2018-04-18,18428-区块链技术专家工程师（深圳）
深圳,市场类,1,https://hr.tencent.com/position_detail.php?id=39355&keywords=&tid=0&lid=0,2018-04-18,SA-腾讯社交广告SMB电商行业经理（深圳）
北京,产品/项目类,1,https://hr.tencent.com/position_detail.php?id=39357&keywords=&tid=0&lid=0,2018-04-18,SA-腾讯社交广告SMB行业运营经理（电商运营方向）（北京）
深圳,技术类,1,https://hr.tencent.com/position_detail.php?id=39344&keywords=&tid=0&lid=0,2018-04-18,25923-蓝鲸产品测试开发（深圳）
深圳,技术类,1,https://hr.tencent.com/position_detail.php?id=39347&keywords=&tid=0&lid=0,2018-04-18,25923-数据库工程师(DBA)（深圳）
深圳,技术类,4,https://hr.tencent.com/position_detail.php?id=39349&keywords=&tid=0&lid=0,2018-04-18,18428-区块链应用（高级）开发工程师（深圳）
深圳,市场类,1,https://hr.tencent.com/position_detail.php?id=39351&keywords=&tid=0&lid=0,2018-04-18,SNG16-QQ音乐商务合作经理（深圳）
北京,内容编辑类,1,https://hr.tencent.com/position_detail.php?id=39339&keywords=&tid=0&lid=0,2018-04-18,23673-学术编辑（北京）
北京,内容编辑类,1,https://hr.tencent.com/position_detail.php?id=39341&keywords=&tid=0&lid=0,2018-04-18,23673-时尚编辑（北京）
天津,内容编辑类,2,https://hr.tencent.com/position_detail.php?id=39343&keywords=&tid=0&lid=0,2018-04-18,23671-视频质量管理（天津）
